"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","85","1000","30","865"
"300","85","1000","30","857"
"300","85","1000","30","879"
"300","85","1000","30","867"
"300","85","1000","30","873"
"300","85","1000","30","870"
"300","85","1000","30","878"
"300","85","1000","30","863"
"300","85","1000","30","887"
"300","85","1000","30","871"
"300","85","1000","30","876"
"300","85","1000","30","889"
"300","85","1000","30","872"
"300","85","1000","30","871"
"300","85","1000","30","873"
"300","85","1000","30","886"
"300","85","1000","30","877"
"300","85","1000","30","876"
"300","85","1000","30","868"
"300","85","1000","30","866"
"300","85","1000","30","877"
"300","85","1000","30","874"
"300","85","1000","30","869"
"300","85","1000","30","891"
"300","85","1000","30","876"
"300","85","1000","30","883"
"300","85","1000","30","875"
"300","85","1000","30","878"
"300","85","1000","30","872"
"300","85","1000","30","891"
