"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","50","320","30","282"
"300","50","320","30","272"
"300","50","320","30","260"
"300","50","320","30","272"
"300","50","320","30","275"
"300","50","320","30","273"
"300","50","320","30","268"
"300","50","320","30","267"
"300","50","320","30","263"
"300","50","320","30","284"
"300","50","320","30","277"
"300","50","320","30","262"
"300","50","320","30","288"
"300","50","320","30","281"
"300","50","320","30","291"
"300","50","320","30","270"
"300","50","320","30","274"
"300","50","320","30","254"
"300","50","320","30","268"
"300","50","320","30","279"
"300","50","320","30","276"
"300","50","320","30","271"
"300","50","320","30","286"
"300","50","320","30","261"
"300","50","320","30","284"
"300","50","320","30","274"
"300","50","320","30","272"
"300","50","320","30","275"
"300","50","320","30","270"
"300","50","320","30","274"
