"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","5","1000","30","552"
"300","5","1000","30","613"
"300","5","1000","30","706"
"300","5","1000","30","490"
"300","5","1000","30","674"
"300","5","1000","30","613"
"300","5","1000","30","551"
"300","5","1000","30","492"
"300","5","1000","30","490"
"300","5","1000","30","738"
"300","5","1000","30","614"
"300","5","1000","30","675"
"300","5","1000","30","678"
"300","5","1000","30","706"
"300","5","1000","30","706"
"300","5","1000","30","707"
"300","5","1000","30","614"
"300","5","1000","30","582"
"300","5","1000","30","646"
"300","5","1000","30","614"
"300","5","1000","30","708"
"300","5","1000","30","645"
"300","5","1000","30","613"
"300","5","1000","30","737"
"300","5","1000","30","798"
"300","5","1000","30","676"
"300","5","1000","30","644"
"300","5","1000","30","614"
"300","5","1000","30","643"
"300","5","1000","30","582"
"300","10","1000","30","677"
"300","10","1000","30","618"
"300","10","1000","30","616"
"300","10","1000","30","674"
"300","10","1000","30","508"
"300","10","1000","30","617"
"300","10","1000","30","662"
"300","10","1000","30","520"
"300","10","1000","30","556"
"300","10","1000","30","646"
"300","10","1000","30","646"
"300","10","1000","30","739"
"300","10","1000","30","677"
"300","10","1000","30","615"
"300","10","1000","30","571"
"300","10","1000","30","578"
"300","10","1000","30","615"
"300","10","1000","30","741"
"300","10","1000","30","619"
"300","10","1000","30","801"
"300","10","1000","30","708"
"300","10","1000","30","555"
"300","10","1000","30","681"
"300","10","1000","30","678"
"300","10","1000","30","672"
"300","10","1000","30","647"
"300","10","1000","30","770"
"300","10","1000","30","739"
"300","10","1000","30","654"
"300","10","1000","30","557"
"300","15","1000","30","590"
"300","15","1000","30","664"
"300","15","1000","30","566"
"300","15","1000","30","656"
"300","15","1000","30","718"
"300","15","1000","30","572"
"300","15","1000","30","657"
"300","15","1000","30","721"
"300","15","1000","30","805"
"300","15","1000","30","603"
"300","15","1000","30","654"
"300","15","1000","30","501"
"300","15","1000","30","805"
"300","15","1000","30","744"
"300","15","1000","30","609"
"300","15","1000","30","612"
"300","15","1000","30","713"
"300","15","1000","30","689"
"300","15","1000","30","776"
"300","15","1000","30","720"
"300","15","1000","30","716"
"300","15","1000","30","656"
"300","15","1000","30","760"
"300","15","1000","30","645"
"300","15","1000","30","654"
"300","15","1000","30","514"
"300","15","1000","30","633"
"300","15","1000","30","643"
"300","15","1000","30","594"
"300","15","1000","30","684"
"300","20","1000","30","652"
"300","20","1000","30","671"
"300","20","1000","30","688"
"300","20","1000","30","644"
"300","20","1000","30","790"
"300","20","1000","30","675"
"300","20","1000","30","629"
"300","20","1000","30","637"
"300","20","1000","30","691"
"300","20","1000","30","784"
"300","20","1000","30","707"
"300","20","1000","30","662"
"300","20","1000","30","677"
"300","20","1000","30","683"
"300","20","1000","30","680"
"300","20","1000","30","714"
"300","20","1000","30","647"
"300","20","1000","30","656"
"300","20","1000","30","637"
"300","20","1000","30","627"
"300","20","1000","30","656"
"300","20","1000","30","595"
"300","20","1000","30","731"
"300","20","1000","30","722"
"300","20","1000","30","640"
"300","20","1000","30","640"
"300","20","1000","30","634"
"300","20","1000","30","704"
"300","20","1000","30","733"
"300","20","1000","30","683"
"300","25","1000","30","675"
"300","25","1000","30","720"
"300","25","1000","30","719"
"300","25","1000","30","732"
"300","25","1000","30","745"
"300","25","1000","30","743"
"300","25","1000","30","718"
"300","25","1000","30","720"
"300","25","1000","30","646"
"300","25","1000","30","618"
"300","25","1000","30","745"
"300","25","1000","30","755"
"300","25","1000","30","654"
"300","25","1000","30","846"
"300","25","1000","30","730"
"300","25","1000","30","714"
"300","25","1000","30","691"
"300","25","1000","30","770"
"300","25","1000","30","775"
"300","25","1000","30","665"
"300","25","1000","30","672"
"300","25","1000","30","744"
