"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","5","30","3"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","6"
"300","50","10","30","7"
"300","50","10","30","6"
"300","50","20","30","15"
"300","50","20","30","15"
"300","50","20","30","14"
"300","50","20","30","14"
"300","50","20","30","14"
"300","50","20","30","16"
"300","50","20","30","15"
"300","50","20","30","13"
"300","50","20","30","15"
"300","50","20","30","15"
"300","50","20","30","15"
"300","50","20","30","15"
"300","50","20","30","14"
"300","50","20","30","16"
"300","50","20","30","14"
"300","50","20","30","15"
"300","50","20","30","16"
"300","50","20","30","15"
"300","50","20","30","14"
"300","50","20","30","15"
"300","50","20","30","14"
"300","50","20","30","14"
"300","50","20","30","17"
"300","50","20","30","14"
"300","50","20","30","15"
"300","50","20","30","16"
"300","50","20","30","16"
"300","50","20","30","15"
"300","50","20","30","15"
"300","50","20","30","14"
"300","50","40","30","31"
"300","50","40","30","30"
"300","50","40","30","30"
"300","50","40","30","32"
